Date,Actual Marketcap
"Jan 06, 2016",7.12
"Jan 13, 2016",7.14
"Jan 20, 2016",6.97
"Jan 27, 2016",6.74
"Feb 03, 2016",6.34
"Feb 10, 2016",6.73
"Feb 17, 2016",7.31
"Feb 24, 2016",7.63
"Mar 02, 2016",7.83
"Mar 09, 2016",8
"Mar 16, 2016",8.14
"Mar 23, 2016",8.19
"Mar 30, 2016",8.05
"Apr 06, 2016",8.12
"Apr 13, 2016",7.87
"Apr 20, 2016",8.27
"Apr 27, 2016",8.25
"May 04, 2016",8.43
"May 11, 2016",8.57
"May 18, 2016",8.87
"May 25, 2016",8.75
"Jun 01, 2016",10.52
"Jun 08, 2016",11.30
"Jun 15, 2016",13.52
"Jun 22, 2016",11.31
"Jun 29, 2016",12.17
"Jul 06, 2016",12.66
"Jul 13, 2016",12.69
"Jul 20, 2016",13.15
"Jul 27, 2016",12.82
"Aug 03, 2016",11.16
"Aug 10, 2016",11.69
"Aug 17, 2016",11.44
"Aug 24, 2016",11.52
"Aug 31, 2016",11.46
"Sep 07, 2016",12.25
"Sep 14, 2016",12.16
"Sep 21, 2016",12.09
"Sep 28, 2016",12.27
"Oct 05, 2016",12.38
"Oct 12, 2016",12.60
"Oct 19, 2016",12.51
"Oct 26, 2016",13.20
"Nov 02, 2016",14.01
"Nov 09, 2016",13.83
"Nov 16, 2016",14.14
"Nov 23, 2016",14.05
"Nov 30, 2016",13.97
"Dec 07, 2016",14.26
"Dec 14, 2016",14.53
"Dec 21, 2016",15.41
"Dec 28, 2016",17.93
"Jan 04, 2017",21.05
"Jan 11, 2017",15
"Jan 18, 2017",16.63
"Jan 25, 2017",17
"Feb 01, 2017",18.71
"Feb 08, 2017",19.98
"Feb 15, 2017",19.34
"Feb 22, 2017",21.14
"Mar 01, 2017",23.44
"Mar 08, 2017",22.16
"Mar 15, 2017",26.41
"Mar 22, 2017",23.85
"Mar 29, 2017",25.13
"Apr 05, 2017",27.57
"Apr 12, 2017",29.23
"Apr 19, 2017",29.84
"Apr 26, 2017",32.42
"May 03, 2017",40.75
"May 10, 2017",52.66
"May 17, 2017",62.49
"May 24, 2017",86.84
"May 31, 2017",84.23
"Jun 07, 2017",99.14
"Jun 14, 2017",106.24
"Jun 21, 2017",111.64
"Jun 28, 2017",106.43
"Jul 05, 2017",105.01
"Jul 12, 2017",88.80
"Jul 19, 2017",80.50
"Jul 26, 2017",86.91
"Aug 02, 2017",106.40
"Aug 09, 2017",123.50
"Aug 16, 2017",142.68
"Aug 23, 2017",151.64
"Aug 30, 2017",167.36
"Sep 06, 2017",162.75
"Sep 13, 2017",136.55
"Sep 20, 2017",135.84
"Sep 27, 2017",145.51
"Oct 04, 2017",140.81
"Oct 11, 2017",152.28
"Oct 18, 2017",167.57
"Oct 25, 2017",166.49
"Nov 01, 2017",185.03
"Nov 08, 2017",206.65
"Nov 15, 2017",220.83
"Nov 22, 2017",250.82
"Nov 29, 2017",294.65
"Dec 06, 2017",391.43
"Dec 13, 2017",515.21
"Dec 20, 2017",629.73
"Dec 27, 2017",616.26
"Jan 03, 2018",759.38
"Jan 10, 2018",773.23
"Jan 17, 2018",548.96
"Jan 24, 2018",551.96
"Jan 31, 2018",497.23
"Feb 07, 2018",370.04
"Feb 14, 2018",412.90
"Feb 21, 2018",492.65
"Feb 28, 2018",457.45
"Mar 07, 2018",435.77
"Mar 14, 2018",372.17
"Mar 21, 2018",346.18
"Mar 28, 2018",302.99
"Apr 04, 2018",284.61
"Apr 11, 2018",265.40
"Apr 18, 2018",323.03
"Apr 25, 2018",438.47
"May 02, 2018",421.30
"May 09, 2018",446.89
"May 16, 2018",394.17
"May 23, 2018",335.11
"May 30, 2018",325.93
"Jun 06, 2018",350.57
"Jun 13, 2018",278.66
"Jun 20, 2018",289.86
"Jun 27, 2018",252.16
"Jul 04, 2018",285.02
"Jul 11, 2018",255.67
"Jul 18, 2018",305.60
"Jul 25, 2018",309.94
"Aug 01, 2018",275.52
"Aug 08, 2018",237.60
"Aug 15, 2018",210.47
"Aug 22, 2018",204.91
"Aug 29, 2018",235.40
"Sep 05, 2018",228.85
"Sep 12, 2018",194.13
"Sep 19, 2018",204.57
"Sep 26, 2018",214.18
"Oct 03, 2018",219.27
"Oct 10, 2018",221.62
"Oct 17, 2018",218.54
"Oct 24, 2018",214.76
"Oct 31, 2018",209.25
"Nov 07, 2018",224.56
"Nov 14, 2018",215.10
"Nov 21, 2018",150.17
"Nov 28, 2018",138.49
"Dec 05, 2018",127.14
"Dec 12, 2018",107.59
"Dec 19, 2018",121.88
"Dec 26, 2018",128.22
"Jan 02, 2019",129.34
"Jan 09, 2019",137.11
"Jan 16, 2019",119.87
"Jan 23, 2019",120.26
"Jan 30, 2019",112.80
"Feb 06, 2019",111.28
"Feb 13, 2019",120.98
"Feb 20, 2019",132.36
"Feb 27, 2019",129.09
"Mar 06, 2019",131.60
"Mar 13, 2019",133.30
"Mar 20, 2019",139.61
"Mar 27, 2019",138.64
"Apr 03, 2019",176.48
"Apr 10, 2019",183.41
"Apr 17, 2019",178.06
"Apr 24, 2019",182.49
"May 01, 2019",172.97
"May 08, 2019",184.25
"May 15, 2019",243.14
"May 22, 2019",246.94
"May 29, 2019",271.20
"Jun 05, 2019",246.01
"Jun 12, 2019",261.50
"Jun 19, 2019",286.54
"Jun 26, 2019",356.10
"Jul 03, 2019",323.45
"Jul 10, 2019",355.49
"Jul 17, 2019",258.74
"Jul 24, 2019",272.72
"Jul 31, 2019",271.20
"Aug 07, 2019",312.70
"Aug 14, 2019",285.61
"Aug 21, 2019",266.44
"Aug 28, 2019",266.78
"Sep 04, 2019",268.19
"Sep 11, 2019",259
"Sep 18, 2019",269.21
"Sep 25, 2019",221.98
"Oct 02, 2019",219.57
"Oct 09, 2019",222.36
"Oct 16, 2019",221.64
"Oct 23, 2019",206.81
"Oct 30, 2019",252.54
"Nov 06, 2019",254.35
"Nov 13, 2019",241.57
"Nov 20, 2019",223
"Nov 27, 2019",189.03
"Dec 04, 2019",198.12
"Dec 11, 2019",195.78
"Dec 18, 2019",178.13
"Dec 25, 2019",191.42
"Jan 01, 2020",191.41
"Jan 08, 2020",214.81
"Jan 15, 2020",235.12
"Jan 22, 2020",238.97
"Jan 29, 2020",254.14
"Feb 05, 2020",257.52
"Feb 12, 2020",298.87
"Feb 19, 2020",296.68
"Feb 26, 2020",260
"Mar 04, 2020",251.54
"Mar 11, 2020",224.98
"Mar 18, 2020",145.97
"Mar 25, 2020",183.51
"Apr 01, 2020",179.30
"Apr 08, 2020",203.87
"Apr 15, 2020",193.39
"Apr 22, 2020",202.27
"May 06, 2020",252.09
"May 13, 2020",247.19
"May 20, 2020",268.61
"May 27, 2020",254.83
"Jun 03, 2020",270.18
"Jun 10, 2020",279.15
"Jun 17, 2020",270.71
"Jun 24, 2020",274.28
"Jul 01, 2020",263.07
"Jul 08, 2020",275.13
"Jul 15, 2020",277.92
"Jul 22, 2020",283.06
"Jul 29, 2020",329.69
"Aug 05, 2020",349.25
"Aug 12, 2020",355.54
"Aug 19, 2020",383.24
"Aug 26, 2020",369.89
"Sep 02, 2020",399.58
"Sep 09, 2020",333.75
"Sep 16, 2020",346.38
"Sep 23, 2020",333.82
"Sep 30, 2020",346.58
"Oct 07, 2020",339.95
"Oct 14, 2020",368.71
"Oct 21, 2020",377.69
"Oct 28, 2020",410.44
"Nov 04, 2020",399.96
"Nov 11, 2020",453.59
"Nov 18, 2020",511.99
"Nov 25, 2020",583.13
"Dec 02, 2020",576.98
"Dec 09, 2020",548.35
"Dec 16, 2020",575.66
"Dec 23, 2020",670.49
"Dec 30, 2020",751.91
"Jan 06, 2021",934.33
"Jan 13, 2021",935.36
"Jan 20, 2021",1045.39
"Jan 27, 2021",979.82
"Feb 03, 2021",1087.23
"Feb 10, 2021",1412.28
"Feb 17, 2021",1522.68
"Feb 24, 2021",1504.93
"Mar 03, 2021",1520.68
"Mar 10, 2021",1743.89
"Mar 17, 2021",1782.17
"Mar 24, 2021",1740.85
"Mar 31, 2021",1895.23
"Apr 07, 2021",2027.63
"Apr 14, 2021",2257.91
"Apr 21, 2021",2136.19
"Apr 28, 2021",2159.87
"May 05, 2021",2272.78
"May 12, 2021",2555.05
"May 19, 2021",2120.05
"May 26, 2021",1712.36
"Jun 02, 2021",1695
"Jun 09, 2021",1579.33
"Jun 16, 2021",1726
"Jun 23, 2021",1318.19
"Jun 30, 2021",1459.74
"Jul 07, 2021",1525.87
"Jul 14, 2021",1385.87
"Jul 21, 2021",1250.93
"Jul 28, 2021",1577.23
"Aug 04, 2021",1616.84
"Aug 11, 2021",1935.58
"Aug 18, 2021",1963.34
"Aug 25, 2021",2128.11
"Sep 01, 2021",2177.86
"Sep 08, 2021",2178.02
"Sep 15, 2021",2214.73
"Sep 22, 2021",1851.10
"Sep 29, 2021",1891.74
"Oct 06, 2021",2319.37
"Oct 13, 2021",2401.03
"Oct 20, 2021",2645.48
"Oct 27, 2021",2691.85
"Nov 03, 2021",2868.96
"Nov 10, 2021",3048
"Nov 17, 2021",2755.37
"Nov 24, 2021",2745.53
"Dec 01, 2021",2764.06
"Dec 08, 2021",2479.87
"Dec 15, 2021",2308.73
"Dec 22, 2021",2395.59
"Dec 29, 2021",2368.53
"Jan 05, 2022",2348.38
"Jan 12, 2022",2122.79
"Jan 19, 2022",2120.48
"Jan 26, 2022",1761.73
"Feb 02, 2022",1865.43
"Feb 09, 2022",2094.09
"Feb 16, 2022",2099.56
"Feb 23, 2022",1808.34
"Mar 02, 2022",2032.59
"Mar 09, 2022",1806.56
"Mar 16, 2022",1828.84
"Mar 23, 2022",2000.07
"Mar 30, 2022",2241.15
"Apr 06, 2022",2218.96
"Apr 13, 2022",1961.53
"Apr 20, 2022",2022.11
"Apr 27, 2022",1854.13
"May 04, 2022",1800.14
"May 11, 2022",1488.38
"May 18, 2022",1373.30
"May 25, 2022",1328.81
"Jun 01, 2022",1371.46
"Jun 08, 2022",1319.52
"Jun 15, 2022",985.57
"Jun 22, 2022",953.27
"Jun 29, 2022",946.91
"Jul 06, 2022",943.26
"Jul 13, 2022",899.57
"Jul 20, 2022",1093.62
"Jul 27, 2022",1018.12
"Aug 03, 2022",1095.02
"Aug 10, 2022",1130.47
"Aug 17, 2022",1190.87
"Aug 24, 2022",1071.18
"Aug 31, 2022",1017.53
"Sep 07, 2022",992.76
"Sep 14, 2022",1029.95
"Sep 21, 2022",960.59
"Sep 28, 2022",972.47
